PropertyID,State,Peril,InsuredValue_USD,ConstructionType,OccupancyType,YearBuilt,TotalDamage_USD,HazardScore,Loss_Ratio,Loss_Amount_USD
P00001,TENNESSEE,Earthquake,2150326.404378745,Wood,Commercial,2015,250000.0,0.805792388206018,0.19189006256516586,412626.2682717655
P00002,FLORIDA,Hurricane,4027072.01676776,Wood,Commercial,2012,250000.0,0.805792388206018,0.1727914439833895,695843.5888024018
P00003,PENNSYLVANIA,Flood,2739630.91184779,Steel,Industrial,1971,0.0,0.0,0.0,0.0
P00004,OKLAHOMA,Flood,1570783.3945852937,Wood,Commercial,1960,150000.0,0.7726754875441604,0.29204698293121734,458742.5512270909
P00005,OHIO,Wildfire,1409204.1341363587,Wood,Industrial,1978,250000.0,0.805792388206018,0.23346612845852938,329001.4334045698
P00006,TENNESSEE,Flood,1166308.7197992455,Steel,Commercial,1952,4350000.0,0.990978496017681,0.17762991724774696,207171.32138326566
P00007,NEBRASKA,Flood,4136276.4126574323,Concrete,Commercial,1994,250000.0,0.805792388206018,0.037957222453416394,157001.5639240573
P00008,OKLAHOMA,Earthquake,2951115.718354846,Masonry,Residential,1952,250000.0,0.805792388206018,0.17266316130863593,509548.96931875375
P00009,OKLAHOMA,Hurricane,3574870.111937175,Masonry,Residential,2023,250000.0,0.805792388206018,0.29738742406522617,1063121.4139567632
P00010,KENTUCKY,Tornado,4314590.162847325,Concrete,Residential,2017,275000.0,0.8119713699260559,0.11158830189732023,481457.7896550154
P00011,OHIO,Hurricane,4935622.34239806,Steel,Commercial,1963,250000.0,0.805792388206018,0.061291700839951696,302512.6880692435
P00012,MISSOURI,Wildfire,1322469.5740008315,Concrete,Industrial,2014,250000.0,0.805792388206018,0.054681943147463385,72315.20605976359
P00013,CALIFORNIA,Hurricane,986422.1885437734,Masonry,Industrial,2006,250000.0,0.805792388206018,0.10956300995583042,108075.38406407347
P00014,INDIANA,Flood,2363791.8796903477,Masonry,Industrial,1964,5000.0,0.5521867402939868,0.12066877351765397,285235.8669732241
P00015,ILLINOIS,Wildfire,271849.2694448093,Masonry,Residential,2009,250000.0,0.805792388206018,0.3276133028232174,89061.43703289272
P00016,CALIFORNIA,Hurricane,3979417.619661289,Masonry,Commercial,2003,250000.0,0.805792388206018,0.0923828531269607,367629.9534880084
P00017,WEST VIRGINIA,Wildfire,4430423.994288472,Steel,Residential,1951,250000.0,0.805792388206018,0.08557364781386398,379127.54255333426
P00018,INDIANA,Tornado,3461594.5238653393,Masonry,Commercial,2013,17341000.0,1.0806324212221268,0.198200263191513,686088.9456924103
P00019,INDIANA,Hurricane,1413175.6203616858,Masonry,Commercial,1977,250000.0,0.805792388206018,0.08192832326702097,115779.10905806509
P00020,PUERTO RICO,Flood,703461.8225450738,Steel,Commercial,2016,125500.0,0.7611143814294813,0.05428757138543324,38189.23390834266
